site_id,sample_id,lon,lat,collection_date,lon_cru,lat_cru,time,tmp
B01,Soil_B01_1,39.326212,-76.6213047,2023-05-31,-76.75,39.25,2023-05-16,17.30000114440918
B02,Soil_B02_1,39.3253092,-76.6180579,2023-05-31,-76.75,39.25,2023-05-16,17.30000114440918
B03,Soil_B03_1,39.324184700000004,-76.6263905,2023-05-31,-76.75,39.25,2023-05-16,17.30000114440918
B04,Soil_B04_1,39.3519629,-76.6194265,2023-06-01,-76.75,39.25,2023-06-16,21.700000762939453
B05,Soil_B05_1,39.3528954,-76.6188471,2023-06-01,-76.75,39.25,2023-06-16,21.700000762939453
B06,Soil_B06_1,39.3496891,-76.6178148,2023-06-01,-76.75,39.25,2023-06-16,21.700000762939453
B07,Soil_B07_1,39.3212027,-76.6417958,2023-06-06,-76.75,39.25,2023-06-16,21.700000762939453
B08,Soil_B08_1,39.321979,-76.6415973,2023-06-06,-76.75,39.25,2023-06-16,21.700000762939453
B09,Soil_B09_1,39.3204848,-76.6444267,2023-06-06,-76.75,39.25,2023-06-16,21.700000762939453
B10,Soil_B10_1,39.319571,-76.6441182,2023-06-06,-76.75,39.25,2023-06-16,21.700000762939453
B11,Soil_B11_1,39.2725685,-76.6515768,2023-06-06,-76.75,39.25,2023-06-16,21.700000762939453
B12,Soil_B12_1,39.2731493,-76.6527808,2023-06-06,-76.75,39.25,2023-06-16,21.700000762939453
B13,Soil_B13_1,39.271642,-76.6482257,2023-06-06,-76.75,39.25,2023-06-16,21.700000762939453
B14,Soil_B14_1,39.332137,-76.5758902,2023-06-07,-76.75,39.25,2023-06-16,21.700000762939453
B15,Soil_B15_1,39.3302272,-76.5726679,2023-06-07,-76.75,39.25,2023-06-16,21.700000762939453
B16,Soil_B16_1,39.3294746,-76.5708624,2023-06-07,-76.75,39.25,2023-06-16,21.700000762939453
B17,Soil_B17_1,39.3284985,-76.5712121,2023-06-07,-76.75,39.25,2023-06-16,21.700000762939453
B18,Soil_B18_1,39.3328439,-76.5739265,2023-06-07,-76.75,39.25,2023-06-16,21.700000762939453
B19,Soil_B19_1,39.3319241,-76.5796275,2023-06-07,-76.75,39.25,2023-06-16,21.700000762939453
B20,Soil_B20_1,39.3042679,-76.6944519,2023-06-13,-76.75,39.25,2023-06-16,21.700000762939453
B21,Soil_B21_1,39.3027325,-76.6957974,2023-06-13,-76.75,39.25,2023-06-16,21.700000762939453
B22,Soil_B22_1,39.3017521,-76.696591,2023-06-13,-76.75,39.25,2023-06-16,21.700000762939453
B23,Soil_B23_1,39.3056304,-76.69476,2023-06-13,-76.75,39.25,2023-06-16,21.700000762939453
B24,Soil_B24_1,39.307208,-76.6949263,2023-06-13,-76.75,39.25,2023-06-16,21.700000762939453
M01,Soil_M01_1,39.114081,-77.128242,2023-06-02,-77.25,39.25,2023-06-16,21.200000762939453
M02,Soil_M02_1,39.1158,-77.12721,2023-06-02,-77.25,39.25,2023-06-16,21.200000762939453
M03,Soil_M03_1,39.11643,-77.12852,2023-06-02,-77.25,39.25,2023-06-16,21.200000762939453
M04,Soil_M04_1,39.118353,-77.126822,2023-06-02,-77.25,39.25,2023-06-16,21.200000762939453
M05,Soil_M05_1,39.1924796,-77.2958082,2023-06-19,-77.25,39.25,2023-06-16,21.200000762939453
M06,Soil_M06_1,39.1923697,-77.2938525,2023-06-19,-77.25,39.25,2023-06-16,21.200000762939453
M07,Soil_M07_1,39.1951344,-77.2909008,2023-06-19,-77.25,39.25,2023-06-16,21.200000762939453
M08,Soil_M08_1,39.195548,-77.2893639,2023-06-19,-77.25,39.25,2023-06-16,21.200000762939453
M09,Soil_M09_1,39.2096095,-77.2436929,2023-06-19,-77.25,39.25,2023-06-16,21.200000762939453
M10,Soil_M10_1,39.2099919,-77.2439618,2023-06-19,-77.25,39.25,2023-06-16,21.200000762939453
M11,Soil_M11_1,39.2074954,-77.2422723,2023-06-19,-77.25,39.25,2023-06-16,21.200000762939453
M12,Soil_M12_1,39.2084737,-77.242564,2023-06-19,-77.25,39.25,2023-06-16,21.200000762939453
M13,Soil_M13_1,39.2108606,-77.2053983,2023-06-20,-77.25,39.25,2023-06-16,21.200000762939453
M14,Soil_M14_1,39.2109581,-77.2046218,2023-06-20,-77.25,39.25,2023-06-16,21.200000762939453
M15,Soil_M15_1,39.2019044,-77.2025498,2023-06-20,-77.25,39.25,2023-06-16,21.200000762939453
M16,Soil_M16_1,39.2023669,-77.201322,2023-06-20,-77.25,39.25,2023-06-16,21.200000762939453
M17,Soil_M17_1,39.2238459,-77.2123519,2023-06-20,-77.25,39.25,2023-06-16,21.200000762939453
M18,Soil_M18_1,39.2238549,-77.2126031,2023-06-20,-77.25,39.25,2023-06-16,21.200000762939453
M19,Soil_M19_1,39.1642713,-77.1349229,2023-06-21,-77.25,39.25,2023-06-16,21.200000762939453
M20,Soil_M20_1,39.162704,-77.1327725,2023-06-21,-77.25,39.25,2023-06-16,21.200000762939453
M21,Soil_M21_1,39.1637646,-77.1305888,2023-06-21,-77.25,39.25,2023-06-16,21.200000762939453
M22,Soil_M22_1,39.165766,-77.128902,2023-06-21,-77.25,39.25,2023-06-16,21.200000762939453
M23,Soil_M23_1,39.0351753,-77.1481955,2023-06-21,-77.25,39.25,2023-06-16,21.200000762939453
M24,Soil_M24_1,39.0341792,-77.1495557,2023-06-21,-77.25,39.25,2023-06-16,21.200000762939453
A01,Soil_A01_1,38.839806,-77.115306,2023-12-02,-77.25,38.75,2023-12-16,6.700000286102295
A01,Soil_A01_2,38.839806,-77.115306,2023-12-02,-77.25,38.75,2023-12-16,6.700000286102295
