X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
42,F01,CCCSE,"Fresno, CA",Fresno,CA,Malachi Whitford,36.883255,-119.731121,"Unmanaged: wild plants/weeds, forest, or grassland",1W3JeOcFwXb5_JkLmrDMszJLxHZi-w9rC,10,93720,9b,0,Urban and built-up,"Developed, Open Space",TRUE,CA654,ScA,464442,25573389,Ap,0,23,66,19,15,1,"c(-2073706.01610764, 1797945.95608558)"
42,F01,CCCSE,"Fresno, CA",Fresno,CA,Malachi Whitford,36.883255,-119.731121,"Unmanaged: wild plants/weeds, forest, or grassland",1W3JeOcFwXb5_JkLmrDMszJLxHZi-w9rC,10,93720,9b,0,Urban and built-up,"Developed, Open Space",TRUE,CA654,ScA,464442,25573389,Bt1,23,38,60,17,23,0.5,"c(-2073706.01610764, 1797945.95608558)"
42,F01,CCCSE,"Fresno, CA",Fresno,CA,Malachi Whitford,36.883255,-119.731121,"Unmanaged: wild plants/weeds, forest, or grassland",1W3JeOcFwXb5_JkLmrDMszJLxHZi-w9rC,10,93720,9b,0,Urban and built-up,"Developed, Open Space",TRUE,CA654,ScA,464442,25573389,2Bt2,38,53,28,30,42,0.4000000059604645,"c(-2073706.01610764, 1797945.95608558)"
42,F01,CCCSE,"Fresno, CA",Fresno,CA,Malachi Whitford,36.883255,-119.731121,"Unmanaged: wild plants/weeds, forest, or grassland",1W3JeOcFwXb5_JkLmrDMszJLxHZi-w9rC,10,93720,9b,0,Urban and built-up,"Developed, Open Space",TRUE,CA654,ScA,464442,25573389,2C,94,200,43,39,18,0.05000000074505806,"c(-2073706.01610764, 1797945.95608558)"
42,F01,CCCSE,"Fresno, CA",Fresno,CA,Malachi Whitford,36.883255,-119.731121,"Unmanaged: wild plants/weeds, forest, or grassland",1W3JeOcFwXb5_JkLmrDMszJLxHZi-w9rC,10,93720,9b,0,Urban and built-up,"Developed, Open Space",TRUE,CA654,ScA,464442,25573389,2Bkqm,53,94,NA,NA,NA,NA,"c(-2073706.01610764, 1797945.95608558)"
43,F02,Organic Vineyard,"Fresno, CA",Fresno,CA,Malachi Whitford,36.524636,-119.842776,"Managed: mowed/tended lawns, yard, or park",1F9m6sw9WRhgYHwDHM_QH9V8ND_LfErrd,0,93609,9a,0,Cropland,Cultivated Crops,TRUE,CA654,Hsd,464346,25573370,Ap1,0,13,71,16,13,0.75,"c(-2093232.27941739, 1761468.81358629)"
43,F02,Organic Vineyard,"Fresno, CA",Fresno,CA,Malachi Whitford,36.524636,-119.842776,"Managed: mowed/tended lawns, yard, or park",1F9m6sw9WRhgYHwDHM_QH9V8ND_LfErrd,0,93609,9a,0,Cropland,Cultivated Crops,TRUE,CA654,Hsd,464346,25573370,Ap2,13,28,71,16,13,0.75,"c(-2093232.27941739, 1761468.81358629)"
43,F02,Organic Vineyard,"Fresno, CA",Fresno,CA,Malachi Whitford,36.524636,-119.842776,"Managed: mowed/tended lawns, yard, or park",1F9m6sw9WRhgYHwDHM_QH9V8ND_LfErrd,0,93609,9a,0,Cropland,Cultivated Crops,TRUE,CA654,Hsd,464346,25573370,Bt,28,81,71,16,13,0.25,"c(-2093232.27941739, 1761468.81358629)"
43,F02,Organic Vineyard,"Fresno, CA",Fresno,CA,Malachi Whitford,36.524636,-119.842776,"Managed: mowed/tended lawns, yard, or park",1F9m6sw9WRhgYHwDHM_QH9V8ND_LfErrd,0,93609,9a,0,Cropland,Cultivated Crops,TRUE,CA654,Hsd,464346,25573370,Btk,81,152,71,16,13,0.25,"c(-2093232.27941739, 1761468.81358629)"
43,F02,Organic Vineyard,"Fresno, CA",Fresno,CA,Malachi Whitford,36.524636,-119.842776,"Managed: mowed/tended lawns, yard, or park",1F9m6sw9WRhgYHwDHM_QH9V8ND_LfErrd,0,93609,9a,0,Cropland,Cultivated Crops,TRUE,CA654,Hsd,464346,25573370,2Bdk,152,170,16,70,14,0.25,"c(-2093232.27941739, 1761468.81358629)"
