X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
31,D01,Ozone Garden,"Durango, CO",Durango,CO,Joslynn Lee,37.2805,-107.8666,"Managed: mowed/tended lawns, yard, or park",1la0V1ou7zlQNE8EIHognF7lFlGynacLP,26,81301,6a,22,Temperate or sub-polar shrubland,"Developed, Low Intensity",TRUE,CO669,26,58285,25479478,H1,0,23,35.400001525878906,33.599998474121094,31,1.5,"c(-1039535.06084191, 1647174.53260124)"
31,D01,Ozone Garden,"Durango, CO",Durango,CO,Joslynn Lee,37.2805,-107.8666,"Managed: mowed/tended lawns, yard, or park",1la0V1ou7zlQNE8EIHognF7lFlGynacLP,26,81301,6a,22,Temperate or sub-polar shrubland,"Developed, Low Intensity",TRUE,CO669,26,58285,25479478,H2,23,86,28.100000381469727,29.399999618530273,42.5,0.75,"c(-1039535.06084191, 1647174.53260124)"
31,D01,Ozone Garden,"Durango, CO",Durango,CO,Joslynn Lee,37.2805,-107.8666,"Managed: mowed/tended lawns, yard, or park",1la0V1ou7zlQNE8EIHognF7lFlGynacLP,26,81301,6a,22,Temperate or sub-polar shrubland,"Developed, Low Intensity",TRUE,CO669,26,58285,25479478,H3,86,145,28.100000381469727,29.399999618530273,42.5,0.75,"c(-1039535.06084191, 1647174.53260124)"
31,D01,Ozone Garden,"Durango, CO",Durango,CO,Joslynn Lee,37.2805,-107.8666,"Managed: mowed/tended lawns, yard, or park",1la0V1ou7zlQNE8EIHognF7lFlGynacLP,26,81301,6a,22,Temperate or sub-polar shrubland,"Developed, Low Intensity",TRUE,CO669,26,58285,25479478,H4,145,152,37.20000076293945,35.29999923706055,27.5,0.25,"c(-1039535.06084191, 1647174.53260124)"
32,D02,Food Forest,"Durango, CO",Durango,CO,Joslynn Lee,37.280278,-107.866667,"Managed: mowed/tended lawns, yard, or park",1ai43lF8IYUw8y6uCSFrWAsMaCs1MXQdT,20,81301,6a,16,Urban and built-up,"Developed, Low Intensity",TRUE,CO669,26,58285,25479478,H1,0,23,35.400001525878906,33.599998474121094,31,1.5,"c(-1039543.99800344, 1647150.58147351)"
32,D02,Food Forest,"Durango, CO",Durango,CO,Joslynn Lee,37.280278,-107.866667,"Managed: mowed/tended lawns, yard, or park",1ai43lF8IYUw8y6uCSFrWAsMaCs1MXQdT,20,81301,6a,16,Urban and built-up,"Developed, Low Intensity",TRUE,CO669,26,58285,25479478,H2,23,86,28.100000381469727,29.399999618530273,42.5,0.75,"c(-1039543.99800344, 1647150.58147351)"
32,D02,Food Forest,"Durango, CO",Durango,CO,Joslynn Lee,37.280278,-107.866667,"Managed: mowed/tended lawns, yard, or park",1ai43lF8IYUw8y6uCSFrWAsMaCs1MXQdT,20,81301,6a,16,Urban and built-up,"Developed, Low Intensity",TRUE,CO669,26,58285,25479478,H3,86,145,28.100000381469727,29.399999618530273,42.5,0.75,"c(-1039543.99800344, 1647150.58147351)"
32,D02,Food Forest,"Durango, CO",Durango,CO,Joslynn Lee,37.280278,-107.866667,"Managed: mowed/tended lawns, yard, or park",1ai43lF8IYUw8y6uCSFrWAsMaCs1MXQdT,20,81301,6a,16,Urban and built-up,"Developed, Low Intensity",TRUE,CO669,26,58285,25479478,H4,145,152,37.20000076293945,35.29999923706055,27.5,0.25,"c(-1039543.99800344, 1647150.58147351)"
33,D03,Bluecorn,"Durango, CO",Durango,CO,Joslynn Lee,37.229167,-108.055278,"Managed: mowed/tended lawns, yard, or park",1pZ094UCf_Uf-2FJDLAa93QwoDsMgjwIf,0,81326,6a,0,Urban and built-up,Pasture/Hay,TRUE,CO669,76,58340,25479670,H2,25,86,27.700000762939453,45.29999923706055,27,0.75,"c(-1056703.28995225, 1643548.54453943)"
33,D03,Bluecorn,"Durango, CO",Durango,CO,Joslynn Lee,37.229167,-108.055278,"Managed: mowed/tended lawns, yard, or park",1pZ094UCf_Uf-2FJDLAa93QwoDsMgjwIf,0,81326,6a,0,Urban and built-up,Pasture/Hay,TRUE,CO669,76,58340,25479670,H1,0,25,41,41.5,17.5,0.75,"c(-1056703.28995225, 1643548.54453943)"
