X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
27,CL02,"Keysville, GA","Keysville, GA",Keysville,GA,Kamal Chowdhury,33.08826,-82.2249,"Managed: mowed/tended lawns, yard, or park",1wv9wZEYwIFReDMOAIlQdwiLelV33um5Z,28,30816,8b,23,Urban and built-up,"Developed, Low Intensity",TRUE,GA033,TfB,324609,25199569,Apc,0,28,84.0999984741211,9.399999618530273,6.5,0.75,"c(1273382.54775758, 1205595.22211331)"
27,CL02,"Keysville, GA","Keysville, GA",Keysville,GA,Kamal Chowdhury,33.08826,-82.2249,"Managed: mowed/tended lawns, yard, or park",1wv9wZEYwIFReDMOAIlQdwiLelV33um5Z,28,30816,8b,23,Urban and built-up,"Developed, Low Intensity",TRUE,GA033,TfB,324609,25199569,Btv1,102,127,64.19999694824219,7.900000095367432,27.899999618530273,0.11999999731779099,"c(1273382.54775758, 1205595.22211331)"
27,CL02,"Keysville, GA","Keysville, GA",Keysville,GA,Kamal Chowdhury,33.08826,-82.2249,"Managed: mowed/tended lawns, yard, or park",1wv9wZEYwIFReDMOAIlQdwiLelV33um5Z,28,30816,8b,23,Urban and built-up,"Developed, Low Intensity",TRUE,GA033,TfB,324609,25199569,Btv2,127,152,62.20000076293945,7.900000095367432,29.899999618530273,0.11999999731779099,"c(1273382.54775758, 1205595.22211331)"
27,CL02,"Keysville, GA","Keysville, GA",Keysville,GA,Kamal Chowdhury,33.08826,-82.2249,"Managed: mowed/tended lawns, yard, or park",1wv9wZEYwIFReDMOAIlQdwiLelV33um5Z,28,30816,8b,23,Urban and built-up,"Developed, Low Intensity",TRUE,GA033,TfB,324609,25199569,BCt,152,165,56.599998474121094,8,35.400001525878906,0.10000000149011612,"c(1273382.54775758, 1205595.22211331)"
27,CL02,"Keysville, GA","Keysville, GA",Keysville,GA,Kamal Chowdhury,33.08826,-82.2249,"Managed: mowed/tended lawns, yard, or park",1wv9wZEYwIFReDMOAIlQdwiLelV33um5Z,28,30816,8b,23,Urban and built-up,"Developed, Low Intensity",TRUE,GA033,TfB,324609,25199569,C,165,203,62.5,8,29.5,0.10000000149011612,"c(1273382.54775758, 1205595.22211331)"
27,CL02,"Keysville, GA","Keysville, GA",Keysville,GA,Kamal Chowdhury,33.08826,-82.2249,"Managed: mowed/tended lawns, yard, or park",1wv9wZEYwIFReDMOAIlQdwiLelV33um5Z,28,30816,8b,23,Urban and built-up,"Developed, Low Intensity",TRUE,GA033,TfB,324609,25199569,Btc1,28,56,70.5,10,19.5,0.5,"c(1273382.54775758, 1205595.22211331)"
27,CL02,"Keysville, GA","Keysville, GA",Keysville,GA,Kamal Chowdhury,33.08826,-82.2249,"Managed: mowed/tended lawns, yard, or park",1wv9wZEYwIFReDMOAIlQdwiLelV33um5Z,28,30816,8b,23,Urban and built-up,"Developed, Low Intensity",TRUE,GA033,TfB,324609,25199569,Btc2,56,102,63.5,9.5,27,0.25,"c(1273382.54775758, 1205595.22211331)"
29,CL04,"Augusta, GA","Augusta, GA",Augusta,GA,Kamal Chowdhury,33.47755,-81.97323,"Managed: mowed/tended lawns, yard, or park",1x4jPnBPOw9Xtx-S-SeukZVt_GyO7d1WJ,91,30901,8b,0,Urban and built-up,"Developed, High Intensity",TRUE,GA245,Ud,324911,25241843,NA,NA,NA,NA,NA,NA,NA,"c(1290087.56095812, 1251989.25009776)"
49,GA01,Atlanta (A),"Atlanta, GA",Atlanta,GA,Mentewab Ayalew,33.83261,-84.3621,"Managed: mowed/tended lawns, yard, or park",1QFkR70kGJwAYFhKFlmYujsREXWvtOwmE,51,30305,8a,31,Urban and built-up,"Developed, Medium Intensity",TRUE,GA121,Ub,1674092,25693610,NA,NA,NA,NA,NA,NA,NA,"c(1066743.62438703, 1261670.49855929)"
50,GA02,Atlanta (B),"Atlanta, GA",Atlanta,GA,Mentewab Ayalew,33.83218,-84.3641,"Managed: mowed/tended lawns, yard, or park",1663jMUvPr8urOCEqFi2e8tib-5s7A0te,28,30305,8a,27,Urban and built-up,"Developed, Low Intensity",TRUE,GA121,Ub,1674092,25693610,NA,NA,NA,NA,NA,NA,NA,"c(1066567.08716494, 1261600.36462856)"
