X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023_science,tree_canopy_cover_2023_nlcd,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
2,B01,Decker Quad,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.326212,-76.6213047,"Managed: mowed/tended lawns, yard, or park",1TQ4lQDBbhQ0Rczf2g_AsmnjHsfgIN5RP,71,21218,7b,38,38,Urban and built-up,"Developed, Medium Intensity",TRUE,MD510,13UB,533895,25783316,H3,61,165,89.69999694824219,1.7999999523162842,8.5,0.25,"c(1643825.41023991, 1979655.06519009)"
2,B01,Decker Quad,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.326212,-76.6213047,"Managed: mowed/tended lawns, yard, or park",1TQ4lQDBbhQ0Rczf2g_AsmnjHsfgIN5RP,71,21218,7b,38,38,Urban and built-up,"Developed, Medium Intensity",TRUE,MD510,13UB,533895,25783316,H2,25,61,67.19999694824219,15.300000190734863,17.5,0.25,"c(1643825.41023991, 1979655.06519009)"
2,B01,Decker Quad,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.326212,-76.6213047,"Managed: mowed/tended lawns, yard, or park",1TQ4lQDBbhQ0Rczf2g_AsmnjHsfgIN5RP,71,21218,7b,38,38,Urban and built-up,"Developed, Medium Intensity",TRUE,MD510,13UB,533895,25783316,H1,0,25,65.69999694824219,22.799999237060547,11.5,2.5,"c(1643825.41023991, 1979655.06519009)"
3,B02,Wyman Dell,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3253092,-76.6180579,"Managed: mowed/tended lawns, yard, or park",14B_XDr6GmiixkYcRCtMPrlboFr6yHV9g,21,21218,7b,38,36,Urban and built-up,"Developed, Low Intensity",TRUE,MD510,42E,533964,25783532,H1,0,13,67.19999694824219,15.300000190734863,17.5,0.5,"c(1644117.48873536, 1979612.14703252)"
3,B02,Wyman Dell,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3253092,-76.6180579,"Managed: mowed/tended lawns, yard, or park",14B_XDr6GmiixkYcRCtMPrlboFr6yHV9g,21,21218,7b,38,36,Urban and built-up,"Developed, Low Intensity",TRUE,MD510,42E,533964,25783532,C,13,165,40,40,20,2,"c(1644117.48873536, 1979612.14703252)"
4,B03,Stony Run,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.324184700000004,-76.6263905,"Unmanaged: wild plants/weeds, forest, or grassland",1mgTAftS5EXaqPN-a7Seg2BKXaX2aZcNd,15,21211,7b,60,54,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,MD510,22UC,533918,25783396,"Bw1, Bw2",16,56,60,25,15,0.25,"c(1643445.99282236, 1979344.60165078)"
4,B03,Stony Run,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.324184700000004,-76.6263905,"Unmanaged: wild plants/weeds, forest, or grassland",1mgTAftS5EXaqPN-a7Seg2BKXaX2aZcNd,15,21211,7b,60,54,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,MD510,22UC,533918,25783396,"A1, A2",0,16,50,35,15,2,"c(1643445.99282236, 1979344.60165078)"
4,B03,Stony Run,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.324184700000004,-76.6263905,"Unmanaged: wild plants/weeds, forest, or grassland",1mgTAftS5EXaqPN-a7Seg2BKXaX2aZcNd,15,21211,7b,60,54,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,MD510,22UC,533918,25783396,"C1,C2,C3,C4",56,183,82,10,8,0.10000000149011612,"c(1643445.99282236, 1979344.60165078)"
5,B04,NDMU Playground,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3519629,-76.6194265,"Managed: mowed/tended lawns, yard, or park",1L_XzHPIZefOsbPovznJJzdEqzz2LlSfi,14,21210,7b,14,0,Cropland,"Developed, Open Space",TRUE,MD510,40B,533959,25783525,H2,5,165,66.80000305175781,19.200000762939453,14,1.5,"c(1643398.02941442, 1982513.76092911)"
5,B04,NDMU Playground,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3519629,-76.6194265,"Managed: mowed/tended lawns, yard, or park",1L_XzHPIZefOsbPovznJJzdEqzz2LlSfi,14,21210,7b,14,0,Cropland,"Developed, Open Space",TRUE,MD510,40B,533959,25783525,H1,0,5,66.30000305175781,23.200000762939453,10.5,1.5,"c(1643398.02941442, 1982513.76092911)"
6,B05,NDMU Tennis Grove,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3528954,-76.6188471,"Unmanaged: wild plants/weeds, forest, or grassland",1Puac4ceuMiCiHO6eIlTT2D0YunsAi7UQ,9,21212,7b,52,48,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,MD510,13C,533893,25783313,H3,61,165,89.69999694824219,1.7999999523162842,8.5,0.25,"c(1643425.3110841, 1982626.12358192)"
6,B05,NDMU Tennis Grove,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3528954,-76.6188471,"Unmanaged: wild plants/weeds, forest, or grassland",1Puac4ceuMiCiHO6eIlTT2D0YunsAi7UQ,9,21212,7b,52,48,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,MD510,13C,533893,25783313,H2,25,61,67.19999694824219,15.300000190734863,17.5,0.25,"c(1643425.3110841, 1982626.12358192)"
6,B05,NDMU Tennis Grove,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3528954,-76.6188471,"Unmanaged: wild plants/weeds, forest, or grassland",1Puac4ceuMiCiHO6eIlTT2D0YunsAi7UQ,9,21212,7b,52,48,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,MD510,13C,533893,25783313,H1,0,25,65.69999694824219,22.799999237060547,11.5,2.5,"c(1643425.3110841, 1982626.12358192)"
7,B06,NDMU Library Stream,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3496891,-76.6178148,"Unmanaged: wild plants/weeds, forest, or grassland",1oeucaanReM5nL6G4K1VFy1bQ9tTA9bbk,10,21212,7b,53,53,Urban and built-up,"Developed, Open Space",TRUE,MD510,40C,533960,25783526,H2,5,165,66.80000305175781,19.200000762939453,14,1.5,"c(1643584.40942064, 1982292.08115001)"
7,B06,NDMU Library Stream,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3496891,-76.6178148,"Unmanaged: wild plants/weeds, forest, or grassland",1oeucaanReM5nL6G4K1VFy1bQ9tTA9bbk,10,21212,7b,53,53,Urban and built-up,"Developed, Open Space",TRUE,MD510,40C,533960,25783526,H1,0,5,66.30000305175781,23.200000762939453,10.5,1.5,"c(1643584.40942064, 1982292.08115001)"
8,B07,Druid Hill Park Playground,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3212027,-76.6417958,"Managed: mowed/tended lawns, yard, or park",10xkePfbIWOZ60QMaNIXDyl0N7IqnZwak,8,21211,7b,7,0,Cropland,"Developed, Open Space",TRUE,MD510,29B,533934,25783442,H2,89,165,68.80000305175781,23.700000762939453,7.5,0.25,"c(1642224.91521739, 1978750.99922318)"
8,B07,Druid Hill Park Playground,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3212027,-76.6417958,"Managed: mowed/tended lawns, yard, or park",10xkePfbIWOZ60QMaNIXDyl0N7IqnZwak,8,21211,7b,7,0,Cropland,"Developed, Open Space",TRUE,MD510,29B,533934,25783442,H1,0,89,47.20000076293945,45.29999923706055,7.5,1.5,"c(1642224.91521739, 1978750.99922318)"
9,B08,Druid Hill Park Thicket,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.321979,-76.6415973,"Unmanaged: wild plants/weeds, forest, or grassland",1uKI3nE39rrjEO5gwHXkxVBlqrdtg7jLi,8,21217,7b,62,58,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,MD510,29B,533934,25783442,H2,89,165,68.80000305175781,23.700000762939453,7.5,0.25,"c(1642223.92065967, 1978839.6342105)"
9,B08,Druid Hill Park Thicket,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.321979,-76.6415973,"Unmanaged: wild plants/weeds, forest, or grassland",1uKI3nE39rrjEO5gwHXkxVBlqrdtg7jLi,8,21217,7b,62,58,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,MD510,29B,533934,25783442,H1,0,89,47.20000076293945,45.29999923706055,7.5,1.5,"c(1642223.92065967, 1978839.6342105)"
10,B09,Druid Hill Park Hiking Trail,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3204848,-76.6444267,"Unmanaged: wild plants/weeds, forest, or grassland",1V47nj_2yMm1DAzmp9amQhu8WQkttvtDe,9,21217,7b,88,83,Mixed forest,"Developed, Open Space",TRUE,MD510,42E,533964,25783532,H1,0,13,67.19999694824219,15.300000190734863,17.5,0.5,"c(1642021.09561848, 1978626.74345761)"
10,B09,Druid Hill Park Hiking Trail,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3204848,-76.6444267,"Unmanaged: wild plants/weeds, forest, or grassland",1V47nj_2yMm1DAzmp9amQhu8WQkttvtDe,9,21217,7b,88,83,Mixed forest,"Developed, Open Space",TRUE,MD510,42E,533964,25783532,C,13,165,40,40,20,2,"c(1642021.09561848, 1978626.74345761)"
11,B10,Druid Hill Park Baseball Field,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.319571,-76.6441182,"Managed: mowed/tended lawns, yard, or park",1SKT1JpADnzUQaPP5OQEiuzWrHzTXkpEs,6,21217,7b,18,0,Urban and built-up,"Developed, Open Space",TRUE,MD510,39B,533955,25783518,H3,102,165,NA,NA,NA,NA,"c(1642067.61941217, 1978531.77684814)"
