X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
87,MS01,Mississippi (1),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174393,-93.35503,"Unmanaged: wild plants/weeds, forest, or grassland",1SEovvwNo4XYUHQNXDzzjbAr4nutzK75b,0,55433,5a,59,Urban and built-up,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,C,86,152,67.69999694824219,23.299999237060547,9,0,"c(207706.527925649, 2468013.4384106)"
87,MS01,Mississippi (1),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174393,-93.35503,"Unmanaged: wild plants/weeds, forest, or grassland",1SEovvwNo4XYUHQNXDzzjbAr4nutzK75b,0,55433,5a,59,Urban and built-up,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,A,0,8,71.0999984741211,22.399999618530273,6.5,2,"c(207706.527925649, 2468013.4384106)"
87,MS01,Mississippi (1),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174393,-93.35503,"Unmanaged: wild plants/weeds, forest, or grassland",1SEovvwNo4XYUHQNXDzzjbAr4nutzK75b,0,55433,5a,59,Urban and built-up,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,Bt,33,86,71.30000305175781,16.700000762939453,12,0.30000001192092896,"c(207706.527925649, 2468013.4384106)"
87,MS01,Mississippi (1),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174393,-93.35503,"Unmanaged: wild plants/weeds, forest, or grassland",1SEovvwNo4XYUHQNXDzzjbAr4nutzK75b,0,55433,5a,59,Urban and built-up,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,E,8,33,71.0999984741211,22.399999618530273,6.5,0.5,"c(207706.527925649, 2468013.4384106)"
88,MS02,Mississippi (2),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174232,-93.354853,"Unmanaged: wild plants/weeds, forest, or grassland",1L4pxPN_Fj7NMTKT4QEKaq9c3cO2iRKFE,0,55433,5a,59,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,C,86,152,67.69999694824219,23.299999237060547,9,0,"c(207720.922342129, 2467995.92389398)"
88,MS02,Mississippi (2),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174232,-93.354853,"Unmanaged: wild plants/weeds, forest, or grassland",1L4pxPN_Fj7NMTKT4QEKaq9c3cO2iRKFE,0,55433,5a,59,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,A,0,8,71.0999984741211,22.399999618530273,6.5,2,"c(207720.922342129, 2467995.92389398)"
88,MS02,Mississippi (2),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174232,-93.354853,"Unmanaged: wild plants/weeds, forest, or grassland",1L4pxPN_Fj7NMTKT4QEKaq9c3cO2iRKFE,0,55433,5a,59,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,Bt,33,86,71.30000305175781,16.700000762939453,12,0.30000001192092896,"c(207720.922342129, 2467995.92389398)"
88,MS02,Mississippi (2),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174232,-93.354853,"Unmanaged: wild plants/weeds, forest, or grassland",1L4pxPN_Fj7NMTKT4QEKaq9c3cO2iRKFE,0,55433,5a,59,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,E,8,33,71.0999984741211,22.399999618530273,6.5,0.5,"c(207720.922342129, 2467995.92389398)"
89,MS03,Mississippi (3),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174059,-93.354703,"Unmanaged: wild plants/weeds, forest, or grassland",1HHyLy7ns-MCk3yvuEr0PC79MwrIBvHwJ,0,55433,5a,76,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,C,86,152,67.69999694824219,23.299999237060547,9,0,"c(207733.234232132, 2467977.01611306)"
89,MS03,Mississippi (3),"Anoka, MN",Anoka,MN,Mel Melendrez-Vallard,45.174059,-93.354703,"Unmanaged: wild plants/weeds, forest, or grassland",1HHyLy7ns-MCk3yvuEr0PC79MwrIBvHwJ,0,55433,5a,76,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MN003,KmE,395943,25976071,A,0,8,71.0999984741211,22.399999618530273,6.5,2,"c(207733.234232132, 2467977.01611306)"
