X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
90,N01,MMC West Basic,"Nashville, TN",Nashville,TN,Sidd Pratap,36.16786,-86.80898,"Managed: mowed/tended lawns, yard, or park",1I-DDg5Nnaw3-_cZZFnR7jYxovhgUiTRt,67,37208,7b,16,Urban and built-up,"Developed, Medium Intensity",TRUE,TN037,McB,523426,26140024,H1,0,18,26.700000762939453,53.79999923706055,19.5,2.5,"c(818024.566400136, 1497124.12116351)"
90,N01,MMC West Basic,"Nashville, TN",Nashville,TN,Sidd Pratap,36.16786,-86.80898,"Managed: mowed/tended lawns, yard, or park",1I-DDg5Nnaw3-_cZZFnR7jYxovhgUiTRt,67,37208,7b,16,Urban and built-up,"Developed, Medium Intensity",TRUE,TN037,McB,523426,26140024,H3,61,165,5.5,47,47.5,0.25,"c(818024.566400136, 1497124.12116351)"
90,N01,MMC West Basic,"Nashville, TN",Nashville,TN,Sidd Pratap,36.16786,-86.80898,"Managed: mowed/tended lawns, yard, or park",1I-DDg5Nnaw3-_cZZFnR7jYxovhgUiTRt,67,37208,7b,16,Urban and built-up,"Developed, Medium Intensity",TRUE,TN037,McB,523426,26140024,H2,18,61,18.5,44,37.5,0.5,"c(818024.566400136, 1497124.12116351)"
91,N02,MMC Hospital,"Nashville, TN",Nashville,TN,Sidd Pratap,36.16786,-86.80898,"Managed: mowed/tended lawns, yard, or park",1oCoVrk-_ha_6jFFqBgkB7211flMyQmbb,67,37208,7b,16,Urban and built-up,"Developed, Medium Intensity",TRUE,TN037,McB,523426,26140024,H1,0,18,26.700000762939453,53.79999923706055,19.5,2.5,"c(818024.566400136, 1497124.12116351)"
91,N02,MMC Hospital,"Nashville, TN",Nashville,TN,Sidd Pratap,36.16786,-86.80898,"Managed: mowed/tended lawns, yard, or park",1oCoVrk-_ha_6jFFqBgkB7211flMyQmbb,67,37208,7b,16,Urban and built-up,"Developed, Medium Intensity",TRUE,TN037,McB,523426,26140024,H3,61,165,5.5,47,47.5,0.25,"c(818024.566400136, 1497124.12116351)"
91,N02,MMC Hospital,"Nashville, TN",Nashville,TN,Sidd Pratap,36.16786,-86.80898,"Managed: mowed/tended lawns, yard, or park",1oCoVrk-_ha_6jFFqBgkB7211flMyQmbb,67,37208,7b,16,Urban and built-up,"Developed, Medium Intensity",TRUE,TN037,McB,523426,26140024,H2,18,61,18.5,44,37.5,0.5,"c(818024.566400136, 1497124.12116351)"
92,N03,MMC Amphitheater,"Nashville, TN",Nashville,TN,Sidd Pratap,36.1667,-86.80893,"Managed: mowed/tended lawns, yard, or park",1Wxnof4s1vxoFVUrhq54QjrLe0I6tphea,49,37208,7b,19,Urban and built-up,"Developed, Low Intensity",TRUE,TN037,McB,523426,26140024,H1,0,18,26.700000762939453,53.79999923706055,19.5,2.5,"c(818041.5477593, 1496995.24312695)"
92,N03,MMC Amphitheater,"Nashville, TN",Nashville,TN,Sidd Pratap,36.1667,-86.80893,"Managed: mowed/tended lawns, yard, or park",1Wxnof4s1vxoFVUrhq54QjrLe0I6tphea,49,37208,7b,19,Urban and built-up,"Developed, Low Intensity",TRUE,TN037,McB,523426,26140024,H3,61,165,5.5,47,47.5,0.25,"c(818041.5477593, 1496995.24312695)"
92,N03,MMC Amphitheater,"Nashville, TN",Nashville,TN,Sidd Pratap,36.1667,-86.80893,"Managed: mowed/tended lawns, yard, or park",1Wxnof4s1vxoFVUrhq54QjrLe0I6tphea,49,37208,7b,19,Urban and built-up,"Developed, Low Intensity",TRUE,TN037,McB,523426,26140024,H2,18,61,18.5,44,37.5,0.5,"c(818041.5477593, 1496995.24312695)"
93,N04,MMC Brown Hall,"Nashville, TN",Nashville,TN,Sidd Pratap,36.16632,-86.80583,"Managed: mowed/tended lawns, yard, or park",1Ncwb7dVAq9zgczF2ZFGEZ-cW5_adSg19,65,37208,7b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,TN037,McB,523426,26140024,H1,0,18,26.700000762939453,53.79999923706055,19.5,2.5,"c(818320.709759368, 1496979.57277422)"
