X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
36,E01,EPCC TX MdP,"El Paso, TX",El Paso,TX,Maria Alvarez,31.6781066,-106.2660366,"Unmanaged: wild plants/weeds, forest, or grassland",1gO_7uVkta-OZ2uPMhdoWEcDGQovhUUrY,0,79927,8b,0,Tropical or sub-tropical shrubland,Shrub/Scrub,TRUE,TX624,BPC,696615,25663226,H1,0,15,79.4000015258789,16.600000381469727,4,0.25,"c(-967432.333251899, 1008231.85315292)"
36,E01,EPCC TX MdP,"El Paso, TX",El Paso,TX,Maria Alvarez,31.6781066,-106.2660366,"Unmanaged: wild plants/weeds, forest, or grassland",1gO_7uVkta-OZ2uPMhdoWEcDGQovhUUrY,0,79927,8b,0,Tropical or sub-tropical shrubland,Shrub/Scrub,TRUE,TX624,BPC,696615,25663226,H3,30,152,NA,NA,6,0.25,"c(-967432.333251899, 1008231.85315292)"
36,E01,EPCC TX MdP,"El Paso, TX",El Paso,TX,Maria Alvarez,31.6781066,-106.2660366,"Unmanaged: wild plants/weeds, forest, or grassland",1gO_7uVkta-OZ2uPMhdoWEcDGQovhUUrY,0,79927,8b,0,Tropical or sub-tropical shrubland,Shrub/Scrub,TRUE,TX624,BPC,696615,25663226,H2,15,30,95.4000015258789,0.6000000238418579,4,0.25,"c(-967432.333251899, 1008231.85315292)"
37,E02,UTEP Hill,"El Paso, TX",El Paso,TX,Sourav Roy,31.77391,-106.50386,"Unmanaged: wild plants/weeds, forest, or grassland",1ilh1juEEQxg2mlbnXhPpZpij_y1QxwMi,59,79902,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,TX624,IG,696629,25663221,H1,0,203,NA,NA,NA,NA,"c(-988576.786109548, 1021284.67746119)"
38,E03,EP Mundy Park,"El Paso, TX",El Paso,TX,Sourav Roy,31.76397,-106.50203,"Managed: mowed/tended lawns, yard, or park",1gQpMzioNG4YPmZXTo-Fi4DrVKzMm3S7L,38,79902,8b,0,Urban and built-up,"Developed, Low Intensity",TRUE,TX624,DCD,696619,25663188,H1,0,15,45.29999923706055,43.20000076293945,11.5,0.75,"c(-988527.345108067, 1020165.35868467)"
38,E03,EP Mundy Park,"El Paso, TX",El Paso,TX,Sourav Roy,31.76397,-106.50203,"Managed: mowed/tended lawns, yard, or park",1gQpMzioNG4YPmZXTo-Fi4DrVKzMm3S7L,38,79902,8b,0,Urban and built-up,"Developed, Low Intensity",TRUE,TX624,DCD,696619,25663188,H4,76,203,90.9000015258789,1.100000023841858,8,0.550000011920929,"c(-988527.345108067, 1020165.35868467)"
38,E03,EP Mundy Park,"El Paso, TX",El Paso,TX,Sourav Roy,31.76397,-106.50203,"Managed: mowed/tended lawns, yard, or park",1gQpMzioNG4YPmZXTo-Fi4DrVKzMm3S7L,38,79902,8b,0,Urban and built-up,"Developed, Low Intensity",TRUE,TX624,DCD,696619,25663188,H3,25,76,NA,NA,NA,NA,"c(-988527.345108067, 1020165.35868467)"
38,E03,EP Mundy Park,"El Paso, TX",El Paso,TX,Sourav Roy,31.76397,-106.50203,"Managed: mowed/tended lawns, yard, or park",1gQpMzioNG4YPmZXTo-Fi4DrVKzMm3S7L,38,79902,8b,0,Urban and built-up,"Developed, Low Intensity",TRUE,TX624,DCD,696619,25663188,H2,15,25,44.29999923706055,40.70000076293945,15,0.550000011920929,"c(-988527.345108067, 1020165.35868467)"
39,E04,EP Memorial Park,"El Paso, TX",El Paso,TX,Sourav Roy,31.79024,-106.45513,"Managed: mowed/tended lawns, yard, or park",1pW4DuL9sRoniDpfXQyM8yv_SrVKXNWCI,65,79930,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,TX624,DCB,696618,25663189,H2,15,25,44.29999923706055,40.70000076293945,15,0.550000011920929,"c(-983809.408713261, 1022586.68931235)"
39,E04,EP Memorial Park,"El Paso, TX",El Paso,TX,Sourav Roy,31.79024,-106.45513,"Managed: mowed/tended lawns, yard, or park",1pW4DuL9sRoniDpfXQyM8yv_SrVKXNWCI,65,79930,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,TX624,DCB,696618,25663189,H3,25,76,NA,NA,NA,NA,"c(-983809.408713261, 1022586.68931235)"
39,E04,EP Memorial Park,"El Paso, TX",El Paso,TX,Sourav Roy,31.79024,-106.45513,"Managed: mowed/tended lawns, yard, or park",1pW4DuL9sRoniDpfXQyM8yv_SrVKXNWCI,65,79930,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,TX624,DCB,696618,25663189,H4,76,203,90.9000015258789,1.100000023841858,8,0.550000011920929,"c(-983809.408713261, 1022586.68931235)"
39,E04,EP Memorial Park,"El Paso, TX",El Paso,TX,Sourav Roy,31.79024,-106.45513,"Managed: mowed/tended lawns, yard, or park",1pW4DuL9sRoniDpfXQyM8yv_SrVKXNWCI,65,79930,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,TX624,DCB,696618,25663189,H1,0,15,45.29999923706055,43.20000076293945,11.5,0.75,"c(-983809.408713261, 1022586.68931235)"
