X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023_science,tree_canopy_cover_2023_nlcd,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
1,A01,NOVA Alexandria,"Alexandria, VA",Alexandria,VA,Andrew Lee,38.839806,-77.115306,"Unmanaged: wild plants/weeds, forest, or grassland",1PHNCtP3JGvidkDd5bK1R91F895N_G6nM,9,22311,7b,61,68,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA510,91C,1912981,25479343,H3,102,178,67.30000305175781,23.200000762939453,9.5,0.25,"c(1613243.65158, 1917773.86512822)"
1,A01,NOVA Alexandria,"Alexandria, VA",Alexandria,VA,Andrew Lee,38.839806,-77.115306,"Unmanaged: wild plants/weeds, forest, or grassland",1PHNCtP3JGvidkDd5bK1R91F895N_G6nM,9,22311,7b,61,68,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA510,91C,1912981,25479343,H2,23,102,59.599998474121094,17.899999618530273,22.5,0.25,"c(1613243.65158, 1917773.86512822)"
1,A01,NOVA Alexandria,"Alexandria, VA",Alexandria,VA,Andrew Lee,38.839806,-77.115306,"Unmanaged: wild plants/weeds, forest, or grassland",1PHNCtP3JGvidkDd5bK1R91F895N_G6nM,9,22311,7b,61,68,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA510,91C,1912981,25479343,H1,0,23,70.4000015258789,22.100000381469727,7.5,1.5,"c(1613243.65158, 1917773.86512822)"
56,H01,BP Boat Dock Composite (Enke BP Deck),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.08406,-78.87576,"Unmanaged: wild plants/weeds, forest, or grassland",10pFDy7sEzZklljwxl9hsthhSTiJLqZi3,0,22980,7a,8,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H1,0,23,67.5,21,11.5,4,"c(1479752.93142826, 1805928.34821187)"
56,H01,BP Boat Dock Composite (Enke BP Deck),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.08406,-78.87576,"Unmanaged: wild plants/weeds, forest, or grassland",10pFDy7sEzZklljwxl9hsthhSTiJLqZi3,0,22980,7a,8,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H3,76,152,81.80000305175781,9.199999809265137,9,0.5,"c(1479752.93142826, 1805928.34821187)"
56,H01,BP Boat Dock Composite (Enke BP Deck),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.08406,-78.87576,"Unmanaged: wild plants/weeds, forest, or grassland",10pFDy7sEzZklljwxl9hsthhSTiJLqZi3,0,22980,7a,8,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H2,23,76,45.29999923706055,43.20000076293945,11.5,0.5,"c(1479752.93142826, 1805928.34821187)"
57,H02,BP Grassland Composite,"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.0856,-78.87687,"Unmanaged: wild plants/weeds, forest, or grassland",1ITltDaQTxt3eOcCWuqPz6rP9gu6gCdxD,0,22980,7a,3,0,Temperate or sub-polar broadleaf deciduous forest,Pasture/Hay,TRUE,VA820,300,3025769,25473767,NA,NA,NA,NA,NA,NA,NA,"c(1479627.12072596, 1806080.88001456)"
58,H03,BP Park Composite (Enke BP field),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.0845,-78.87622,"Unmanaged: wild plants/weeds, forest, or grassland",194C_HtrMu6rJqntFHYMB8h412-2enHuS,0,22980,7a,3,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H1,0,23,67.5,21,11.5,4,"c(1479704.77441033, 1805969.70418499)"
58,H03,BP Park Composite (Enke BP field),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.0845,-78.87622,"Unmanaged: wild plants/weeds, forest, or grassland",194C_HtrMu6rJqntFHYMB8h412-2enHuS,0,22980,7a,3,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H3,76,152,81.80000305175781,9.199999809265137,9,0.5,"c(1479704.77441033, 1805969.70418499)"
58,H03,BP Park Composite (Enke BP field),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.0845,-78.87622,"Unmanaged: wild plants/weeds, forest, or grassland",194C_HtrMu6rJqntFHYMB8h412-2enHuS,0,22980,7a,3,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H2,23,76,45.29999923706055,43.20000076293945,11.5,0.5,"c(1479704.77441033, 1805969.70418499)"
